"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"0d3fdc17-d03e-4c59-aece-f3278536526d","UpdateWebSite","Started","Administrative","Informational","2024-10-04T07:46:01.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"e3359edf-4f37-4a98-aa87-3fbe2336fdd0","Write tags","Succeeded","Administrative","Informational","2024-10-04T07:45:56.497Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourcegroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh"
"e3359edf-4f37-4a98-aa87-3fbe2336fdd0","Write tags","Started","Administrative","Informational","2024-10-04T07:45:47.019Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/providers/Microsoft.Resources/tags/default"
"e3359edf-4f37-4a98-aa87-3fbe2336fdd0","Write tags","Started","Administrative","Informational","2024-10-04T07:45:47.027Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/providers/Microsoft.Resources/tags/default"
"e3359edf-4f37-4a98-aa87-3fbe2336fdd0","Write tags","Succeeded","Administrative","Informational","2024-10-04T07:45:54.863Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourcegroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh"
"3e17a864-0cbd-4607-8002-d4995969d6a7","UpdateWebSite","Succeeded","Administrative","Informational","2024-10-04T07:45:54.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"3e17a864-0cbd-4607-8002-d4995969d6a7","UpdateWebSite","Started","Administrative","Informational","2024-10-04T07:45:52.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"1335c568-6ea1-4a6c-ab31-7904865d1e81","UpdateWebSite","Succeeded","Administrative","Informational","2024-10-04T07:45:52.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"1335c568-6ea1-4a6c-ab31-7904865d1e81","UpdateWebSite","Started","Administrative","Informational","2024-10-04T07:45:51.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"407ff273-b555-49c4-90e8-4c93170c2b8e","Write Index.js","Succeeded","Administrative","Informational","2024-10-04T07:39:12.504Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Web/sites/hostruntime/vfs/index.js","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/hostruntime/admin/vfs/MiniProjet2"
"407ff273-b555-49c4-90e8-4c93170c2b8e","Write Index.js","Started","Administrative","Informational","2024-10-04T07:39:11.754Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Web/sites/hostruntime/vfs/index.js","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/hostruntime/admin/vfs/MiniProjet2"
"65ca9af4-c2c7-4602-9efb-679249fafc23","Write tags","Succeeded","Administrative","Informational","2024-10-04T07:38:05.303Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourcegroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh"
"65ca9af4-c2c7-4602-9efb-679249fafc23","Write tags","Started","Administrative","Informational","2024-10-04T07:37:54.719Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/providers/Microsoft.Resources/tags/default"
"65ca9af4-c2c7-4602-9efb-679249fafc23","Write tags","Started","Administrative","Informational","2024-10-04T07:37:55.006Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh/providers/Microsoft.Resources/tags/default"
"65ca9af4-c2c7-4602-9efb-679249fafc23","Write tags","Succeeded","Administrative","Informational","2024-10-04T07:38:02.344Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.Resources/tags","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourcegroups/VmLab1_group/providers/Microsoft.Web/sites/miniprojet1yh"
"33e8a250-52cd-4f8a-8285-aabdf49a5ebe","UpdateWebSite","Succeeded","Administrative","Informational","2024-10-04T07:38:02.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"33e8a250-52cd-4f8a-8285-aabdf49a5ebe","UpdateWebSite","Started","Administrative","Informational","2024-10-04T07:38:01.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"91a833b0-4bf6-495f-b9c8-eeb620ba11d8","UpdateWebSite","Succeeded","Administrative","Informational","2024-10-04T07:37:59.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"91a833b0-4bf6-495f-b9c8-eeb620ba11d8","UpdateWebSite","Started","Administrative","Informational","2024-10-04T07:37:58.000Z","ae629c9f-fcc5-47b9-815a-a2868170c260","","MICROSOFT.WEB/sites","VMLAB1_GROUP","/SUBSCRIPTIONS/AE629C9F-FCC5-47B9-815A-A2868170C260/RESOURCEGROUPS/VMLAB1_GROUP/PROVIDERS/MICROSOFT.WEB/SITES/MINIPROJET1YH"
"5e1589f0-74d4-44ba-99c7-648bfbb57357","List keys","Succeeded","Administrative","Informational","2024-10-04T07:32:37.255Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.DocumentDB/databaseAccounts","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.DocumentDB/databaseAccounts/miniprojet2"
"5e1589f0-74d4-44ba-99c7-648bfbb57357","List keys","Started","Administrative","Informational","2024-10-04T07:32:36.990Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.DocumentDB/databaseAccounts","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.DocumentDB/databaseAccounts/miniprojet2"
"79e9a2c7-0f1d-45a0-a3f6-8d5f8767d8d4","List keys","Succeeded","Administrative","Informational","2024-10-04T07:32:34.972Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.DocumentDb/databaseAccounts","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.DocumentDb/databaseAccounts/miniprojet2"
"79e9a2c7-0f1d-45a0-a3f6-8d5f8767d8d4","List keys","Started","Administrative","Informational","2024-10-04T07:32:34.690Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.DocumentDb/databaseAccounts","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.DocumentDb/databaseAccounts/miniprojet2"
"585702f1-7f59-4a64-8e15-2ba0520d9b0e","Read database account readonly keys","Succeeded","Administrative","Informational","2024-10-04T07:32:18.800Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.DocumentDB/databaseAccounts","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.DocumentDb/databaseAccounts/miniprojet2"
"585702f1-7f59-4a64-8e15-2ba0520d9b0e","Read database account readonly keys","Started","Administrative","Informational","2024-10-04T07:32:18.441Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.DocumentDB/databaseAccounts","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.DocumentDb/databaseAccounts/miniprojet2"
"d039d342-5fa6-445b-9516-7d8e429c2547","Validate Features","Succeeded","Administrative","Informational","2024-10-04T07:31:31.027Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.RecoveryServices/locations","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.RecoveryServices/locations/francecentral"
"d039d342-5fa6-445b-9516-7d8e429c2547","Validate Features","Started","Administrative","Informational","2024-10-04T07:31:30.949Z","ae629c9f-fcc5-47b9-815a-a2868170c260","y.hannachi@h3hitema.fr","Microsoft.RecoveryServices/locations","VmLab1_group","/subscriptions/ae629c9f-fcc5-47b9-815a-a2868170c260/resourceGroups/VmLab1_group/providers/Microsoft.RecoveryServices/locations/francecentral"
